Étiquettes de lignes;ACTIONS MODERNISATIONS;AUTRES OPERATIONS;INVESTISSEMENT;Total général
AUVERGNE-RHONE-ALPES;333503.21;;16093831.11;16427334.32
BOURGOGNE-FRANCHE-COMTE;38000.0;;7869771.27;7907771.27
BRETAGNE;55751.98;;9225301.43;9281053.41
CENTRE-VAL-DE-LOIRE;40304.35;;6464585.42;6504889.77
CORSE;6000.0;;11623933.3;11629933.3
GRAND-EST;;;6461734.71;6461734.71
GUADELOUPE;;;83972392.65;83972392.65
GUYANE;;;1135530.28;1135530.28
HAUTS-DE-FRANCE;69200.0;;19413328.21;19482528.21
ILE-DE-FRANCE;566173.95;;24395817.96;24961991.91
LA REUNION;32000.0;;5256519.16;5288519.16
MARTINIQUE;;;124527.8;124527.8
NORMANDIE;20701.79;;20751238.17;20771939.96
NOUVELLE-AQUITAINE;58679.0;;8119391.84;8178070.84
OCCITANIE;95760.63;;7548347.16;7644107.79
PAYS-DE-LA-LOIRE;48000.0;;8789073.46;8837073.46
PROVENCE-ALPES-COTE-D AZUR;146416.0;;15885580.23;16031996.23
Total général;1510490.9100000001;0.0;253130904.16000003;254641395.07000002
